Frequency,GB4,OS23-0002,OS23-0003,OS23-0004,OS23-0005-110,OS23-0005-110 (S),OS23-0005-120,OS23-0005-120(S),OS24-0005-020,OS24-0005-040,OS24-0005-050,OS24-0005-060
1200,1.35E-05,-9.08E-07,-3.36E-11,2.06E-07,1.68E-05,1.57E-05,1.67E-05,1.95E-05,2.75E-05,3.02E-05,6.98E-08,1.60E-05
1200,1.10E-05,-1.77E-06,-9.83E-12,6.18E-07,1.90E-05,1.76E-05,1.67E-05,2.04E-05,2.67E-05,2.55E-05,-2.72E-07,1.44E-05
1500,1.48E-04,4.07E-08,-5.38E-11,-2.55E-06,1.58E-04,1.55E-04,1.38E-04,1.42E-04,1.46E-04,1.44E-04,-8.91E-08,1.51E-04
1500,1.47E-04,-1.88E-07,5.84E-12,-6.22E-11,1.56E-04,1.52E-04,1.46E-04,1.49E-04,1.58E-04,1.48E-04,-3.52E-06,1.45E-04
1500,1.56E-04,3.29E-07,-5.06E-11,3.66E-10,1.45E-04,1.38E-04,1.54E-04,1.32E-04,1.48E-04,1.51E-04,2.09E-05,1.55E-04
1500,1.33E-04,-1.05E-07,-6.14E-11,-5.18E-06,1.61E-04,1.50E-04,1.45E-04,1.46E-04,1.32E-04,1.49E-04,3.13E-06,1.47E-04
1500,1.48E-04,1.57E-08,-4.44E-11,2.65E-07,1.45E-04,1.40E-04,1.54E-04,1.36E-04,1.49E-04,1.35E-04,-1.17E-05,1.35E-04
1500,1.49E-04,-6.56E-08,-2.23E-11,-1.34E-06,1.58E-04,1.51E-04,1.47E-04,1.44E-04,1.48E-04,1.37E-04,-6.41E-06,1.49E-04
2000,2.00E-04,2.07E-08,-1.22E-10,7.12E-06,5.42E-04,3.53E-04,2.12E-04,2.11E-04,1.98E-04,1.93E-04,-1.21E-05,2.04E-04
2000,2.11E-04,-1.31E-07,-4.53E-11,-1.66E-06,6.42E-04,2.83E-04,2.08E-04,2.12E-04,1.88E-04,1.94E-04,1.95E-04,2.03E-04
2000,2.09E-04,-1.05E-07,-4.41E-11,-1.44E-08,6.18E-04,2.74E-04,2.16E-04,2.15E-04,1.97E-04,1.84E-04,1.22E-05,2.13E-04
2000,2.07E-04,-7.58E-08,3.64E-10,3.34E-08,3.49E-04,2.59E-04,2.15E-04,2.12E-04,1.99E-04,2.05E-04,1.40E-07,2.12E-04
2000,2.10E-04,-1.22E-07,5.62E-12,-6.66E-08,4.16E-04,3.17E-04,2.07E-04,2.12E-04,2.02E-04,2.05E-04,-1.19E-08,2.17E-04
2000,2.12E-04,2.91E-08,-6.40E-11,-3.45E-08,3.07E-04,3.18E-04,2.16E-04,2.23E-04,2.05E-04,2.08E-04,-5.16E-08,2.07E-04
2000,2.07E-04,3.30E-07,-1.41E-09,1.20E-07,4.94E-04,2.39E-04,2.17E-04,2.14E-04,2.09E-04,2.12E-04,-2.88E-07,2.02E-04
2000,2.17E-04,1.70E-07,-5.04E-11,-4.05E-09,3.71E-04,2.50E-04,2.21E-04,2.06E-04,1.98E-04,1.96E-04,-2.90E-08,2.17E-04
2500,1.67E-04,1.39E-07,-7.29E-11,-1.43E-08,1.72E-04,1.61E-04,1.71E-04,1.59E-04,1.72E-04,2.22E-04,-2.64E-08,1.65E-04
2500,1.67E-04,1.22E-07,-9.33E-11,-2.09E-08,1.66E-04,1.66E-04,1.68E-04,1.63E-04,1.68E-04,1.98E-04,4.94E-08,1.61E-04
2500,1.63E-04,4.57E-08,-5.78E-11,-1.58E-08,1.74E-04,1.62E-04,1.69E-04,1.64E-04,1.67E-04,1.81E-04,-7.84E-06,1.65E-04
2500,1.58E-04,3.64E-08,-2.56E-10,1.31E-08,1.69E-04,1.66E-04,1.66E-04,1.63E-04,1.62E-04,1.97E-04,-2.85E-06,1.66E-04
